S0,sigma,r,T,barriere,coupon,moneyness,prix_mc
91.26651653816322,0.20410070062366,0.022668684881008642,1.0,100.0,0.09543666915461949,0.9126651653816321,1.0088969878118654
94.4338644844741,0.37986030703798995,0.020326326706339132,3.0,100.0,0.07150695755247019,0.944338644844741,0.9956467148574121
88.5674515886948,0.37679354188107167,0.011509892678697335,3.0,100.0,0.07603684704163897,0.8856745158869479,1.018815861969207
116.43687545759647,0.25071154599162865,0.03332780647532184,2.0,100.0,0.0557657213007083,1.1643687545759647,0.98159369192522
92.83766633467947,0.19836519820547757,0.01919845661604137,3.0,100.0,0.10998917314612414,0.9283766633467947,1.0314802448915847
89.04672548436903,0.32113972418699177,0.015925356880655325,3.0,100.0,0.09147076150552544,0.8904672548436904,1.0211740489943717
102.13480415791243,0.11101388304492,0.036153198553107106,3.0,100.0,0.05585393642259585,1.0213480415791243,0.9513872959766473
82.04621124873813,0.2424307018130954,0.037248370312861954,1.0,100.0,0.10631707198075004,0.8204621124873813,0.9856640790845308
115.10984903770198,0.20089701828110007,0.040086195690306636,2.0,100.0,0.08108807586618821,1.1510984903770198,0.9933225667519763
78.72753218398854,0.37616076553076644,0.03014307585354366,1.0,100.0,0.10355709451190093,0.7872753218398855,0.9925333460212424
124.34434683002587,0.10360090818180477,0.04576218420815546,3.0,100.0,0.05088339034624036,1.2434434683002586,0.9162006828330529
113.61223846483287,0.26584446271550477,0.04745371013592911,2.0,100.0,0.052011778788048586,1.1361223846483286,0.9517077056369865
84.93578407670861,0.32219907431998784,0.04229483759169958,3.0,100.0,0.06195480711475013,0.8493578407670861,0.9247767557367206
75.27610585618012,0.2455053962572124,0.035423739280327486,1.0,100.0,0.06476415892984759,0.7527610585618012,0.9728600798101279
115.77307142274171,0.1256209090488165,0.022148838143647546,1.0,100.0,0.10347688712170965,1.1577307142274171,1.0688599442098516
110.34286719238085,0.3917384170083707,0.04931779686480885,3.0,100.0,0.09946859148116187,1.1034286719238084,0.9415342775581463
111.45035840204936,0.2554031294128294,0.020965446687677535,2.0,100.0,0.09312616833908798,1.1145035840204935,1.033503250307582
113.56351733429729,0.28425587329570345,0.01810627687961724,1.0,100.0,0.1119401227538337,1.1356351733429728,1.0521270222272505
78.70223258670451,0.1709829348122522,0.02768616455146331,3.0,100.0,0.06730041485594564,0.7870223258670451,0.9610142975552937
92.92328642721363,0.24504942553204118,0.01227362282849554,3.0,100.0,0.11330834327331138,0.9292328642721362,1.0537521828220675
80.79345297625649,0.22874484758749658,0.04913977858687163,3.0,100.0,0.11366297484856276,0.8079345297625649,0.9417714987830876
118.15517129377967,0.12246875260059513,0.03353734225665699,2.0,100.0,0.08039818321308048,1.1815517129377968,1.0099619003664786
106.1649063413779,0.1318481060642402,0.03227808366656701,3.0,100.0,0.05660703402941182,1.061649063413779,0.9618533969736843
91.54490124263246,0.3512417558856324,0.0362318511959888,3.0,100.0,0.10085919357326675,0.9154490124263246,0.972818202096028
78.17791751430119,0.17194598566197708,0.029880945911088266,1.0,100.0,0.07358500708529554,0.7817791751430119,0.9773744240792558
90.54911608578311,0.15848748144958918,0.011282540683781664,3.0,100.0,0.10564506622057114,0.9054911608578311,1.0445003010090996
91.25916610133736,0.2514734353750418,0.03449245155361587,2.0,100.0,0.06145831987326622,0.9125916610133735,0.9702586677177594
